0.03	0.00						
0.03	0.00						
0.04	0.00						
0.04	0.00						
0.05	0.00						
0.05	0.00						
0.05	0.00						
0.05	0.01						
0.06	0.01						
0.06	0.00						
0.06	0.00						
0.06	0.00						
0.06	0.00						
0.06	0.00						
0.07	0.02						
0.07	0.00						
0.07	0.00						
0.07	0.00						
0.07	0.00						
0.07	0.00						
0.07	0.00						
0.07	0.01						
0.07	0.01						
0.07	0.01						
0.07	0.01						
0.08	0.00						
0.08	0.00						
0.08	0.01						
0.08	0.01						
0.08	0.01						
0.09	0.01						
0.09	0.01						
0.10	0.00						
0.10	0.01						
0.10	0.01						
0.11	0.01						
0.11	0.01						
0.11	0.01						
0.11	0.01						
0.12	0.01						
0.12	0.01						
0.12	0.01						
0.12	0.01						
0.13	0.01						
0.13	0.01						
0.14	0.01						
0.14	0.01						
0.14	0.04						
0.15	0.01						
0.15	0.03						
0.15	0.01						
0.15	0.01						
0.17	0.01						
0.17	0.01						
0.17	0.01						
0.17	0.01						
0.17	0.02						
0.17	0.02						
0.18	0.02						
0.18	0.01						
0.18	0.02						
0.18	0.01						
0.18	0.01						
0.19	0.01						
0.19	0.01						
0.19	0.02						
0.21	0.04						
0.21	0.01						
0.21	0.01						
0.21	0.01						
0.21	0.02						
0.21	0.02						
0.22	0.02						
0.22	0.01						
0.22	0.01						
0.23	0.01						
0.23	0.01						
0.23	0.01						
0.23	0.15						
0.23	0.02						
0.24	0.01						
0.24	0.02						
0.25	0.01						
0.25	0.01						
0.25	0.01						
0.26	0.01						
0.26	0.02						
0.27	0.02						
0.27	0.01						
0.27	0.01						
0.27	0.01						
0.27	0.01						
0.27	0.01						
0.28	0.01						
0.28	0.02						
0.29	0.01						
0.29	0.02						
0.30	0.05						
0.31	0.04						
0.31	0.03						
0.31	0.03						
0.32	0.02						
0.32	0.05						
0.32	0.02						
0.32	0.01						
0.32	0.03						
0.33	0.02						
0.33	0.03						
0.33	0.02						
0.33	0.02						
0.34	0.02						
0.35	0.04						
0.36	0.04						
0.36	0.04						
0.37	0.02						
0.37	0.02						
0.37	0.02						
0.38	0.04						
0.38	0.03						
0.38	0.04						
0.38	0.02						
0.38	0.03						
0.38	0.05						
0.39	0.02						
0.39	0.02						
0.39	0.02						
0.40	0.05						
0.40	0.02						
0.40	0.03						
0.42	0.03						
0.42	0.03						
0.42	0.04						
0.44	0.02						
0.44	0.03						
0.44	0.02						
0.44	0.02						
0.44	0.02						
0.45	0.02						
0.45	0.03						
0.46	0.02						
0.46	0.02						
0.46	0.05						
0.47	0.02						
0.47	0.17						
0.48	0.05						
0.49	0.02						
0.49	0.03						
0.50	0.02						
0.51	0.02						
0.51	0.03						
0.51	0.06						
0.52	0.02						
0.54	0.03						
0.55	0.03						
0.55	0.04						
0.55	0.03						
0.56	0.02						
0.56	0.02						
0.57	0.03						
0.57	0.08						
0.57	0.04						
0.58	0.03						
0.58	0.03						
0.59	0.04						
0.59	0.02						
0.60	0.03						
0.60	0.03						
0.61	0.06						
0.62	0.04						
0.62	0.03						
0.63	0.08						
0.63	0.03						
0.66	0.06						
0.67	0.02						
0.68	0.10						
0.68	0.06						
0.68	0.03						
0.69	0.03						
0.69	0.04						
0.70	0.03						
0.70	0.05						
0.71	0.05						
0.71	0.05						
0.73	0.08						
0.73	0.05						
0.74	0.09						
0.75	0.04						
0.76	0.04						
0.78	0.07						
0.82	0.05						
0.82	0.05						
0.83	0.12						
0.89	0.06						
0.90	0.06						
0.92	0.03						
0.95	0.05						
0.95	0.11						
0.96	0.16						
0.97	0.04						
0.98	0.04						
0.98	0.09						
1.00	0.05						
1.02	0.08						
1.07	0.04						
1.08	0.06						
1.09	0.04						
1.10	0.06						
1.11	0.05						
1.12	0.18						
1.12	0.05						
1.14	0.06						
1.14	0.20						
1.20	0.07						
1.21	0.06						
1.21	0.08						
1.22	0.05						
1.25	0.08						
1.26	0.07						
1.28	0.07						
1.30	0.08						
1.30	0.04						
1.31	0.08						
1.33	0.05						
1.40	0.16						
1.43	0.03						
1.46	0.07						
1.53	0.10						
1.53	0.08						
1.54	0.09						
1.56	0.13						
1.59	0.09						
1.59	0.25						
1.60	0.13						
1.65	0.07						
1.66	0.06						
1.67	0.06						
1.68	0.16						
1.69	0.10						
1.74	0.08						
1.77	0.08						
1.84	0.09						
1.84	0.17						
1.87	0.06						
2.03	0.10						
2.10	0.10						
2.16	0.10						
2.16	0.33						
2.25	0.08						
2.25	0.15						
2.29	0.12						
2.33	0.09						
2.34	0.09						
